"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"893","TOI-4551 b","TOI-4551",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",9.95581,0.0994,1.058,473.56433,1.49,"Mass",0.101,NA,NA,0,"",4896,3.55,1.31,0.23,3.48,"12h19m54.90s",184.9787579,"-25d49m40.27s",-25.8278531,215.986,-0.006,7.524,9.641,"2023-11"
"894","TOI-4559 b","TOI-4559",1,1,"Transit",2024,"Transiting Exoplanet Survey Satellite (TESS)",3.965991,0.0359,0.126,NA,NA,"",NA,15.77,554,0,"",3558,0.37,0.39,-0.09,4.88,"14h04m03.25s",211.0135378,"-30d00m50.85s",-30.0141252,31.6354,-0.006,8.619,12.0797,"2023-11"
"895","TOI-4582 b","TOI-4582",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",31.034,NA,0.94,168.44906,0.53,"Mass",0.51,NA,NA,0,"",5190,2.5,1.34,0.17,3.77,"17h07m26.43s",256.8601374,"+68d51m56.25s",68.8656263,383.846,-0.014,9.329001,11.0809,"2023-02"
"896","TOI-4600 b","TOI-4600",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",82.6869,0.349,0.607,959.84179,3.02,"Mass",0.25,NA,347,0,"K V",5170,0.81,0.89,0.16,4.57,"17h13m48.09s",258.4503674,"+64d33m58.22s",64.5661727,216.056,-0.034,10.571,12.4406,"2023-09"
"897","TOI-4600 c","TOI-4600",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",482.8191,1.152,0.841,2946.26933,9.27,"Mass",0.21,NA,191,0,"K V",5170,0.81,0.89,0.16,4.57,"17h13m48.09s",258.4503674,"+64d33m58.22s",64.5661727,216.056,-0.034,10.571,12.4406,"2023-09"
"898","TOI-4603 b","TOI-4603",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",7.24599,0.0888,1.042,4096.80817,12.89,"Mass",0.325,1192,1677,0,"F",6264,2.74,1.76,0.342,3.81,"05h35m27.82s",83.8659288,"+21d17m39.27s",21.2942417,225.643,-0.03,7.786,9.07469,"2023-03"
"899","TOI-4641 b","TOI-4641",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",22.09341,0.173,0.73,1229.99594,3.87,"Mass",0.074,NA,NA,0,"",6560,1.72,1.41,-0.09,4.11,"02h50m13.97s",42.5582023,"+25d20m00.72s",25.3335334,86.3501,-0.03,6.579,7.40775,"2023-12"
"900","TOI-470 b","TOI-470",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",12.19148,0.119,0.387,NA,NA,"",NA,NA,660,0,"G",5190,0.83,0.87,0.1,4.54,"06h16m02.38s",94.0099043,"-25d01m53.08s",-25.0314111,130.46,-0.017,9.422,11.2461,"2023-03"
"901","TOI-4791 b","TOI-4791",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.28088,0.0555,1.11,734.18362,2.31,"Mass",0,783.2,1472,0,"",6058,1.41,1.24,0.207,4.23,"07h17m33.21s",109.3883818,"-19d49m44.18s",-19.8289392,328.802,-0.014,10.019,11.3152,"2023-03"
"902","TOI-481 b","TOI-481",1,1,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",10.3311565,NA,NA,NA,NA,"",0.153,NA,NA,0,"G",5735,1.66,1.14,0.26,4.06,"07h22m03.04s",110.5126861,"-57d23m05.99s",-57.384998,179.366,-0.005,8.443,9.84659,"2023-03"
"903","TOI-4860 b","TOI-4860",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",1.5227591,0.01808,0.77,86.7,0.273,"Mass",0.008,42.5,694,0,"M3.5 V",3260,0.36,0.34,0.27,4.86,"12h14m15.35s",183.563961,"-13d10m29.43s",-13.1748411,80.1423,-0.2,11.175,15.1091,"2023-08"
"905","TOI-5126 b","TOI-5126",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",5.4588385,0.06519,0.423,NA,NA,"",0,467,1442,0,"F V",6150,1.24,1.24,0.18,4.22,"10h06m38.35s",151.6597827,"+18d38m02.63s",18.6340631,160.414,-0.006,8.777,9.93629,"2023-10"
"906","TOI-5126 c","TOI-5126",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",17.8999,0.1439,0.344,NA,NA,"",0,96,971,0,"F V",6150,1.24,1.24,0.18,4.22,"10h06m38.35s",151.6597827,"+18d38m02.63s",18.6340631,160.414,-0.006,8.777,9.93629,"2023-10"
"907","TOI-519 b","TOI-519",1,1,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",1.2652328,0.0159,1.03,147.15455,0.463,"Mass",0.33,NA,687,0,"M V",3322,0.35,0.34,0.27,4.87,"08h18m25.62s",124.6067582,"-19d39m46.05s",-19.6627918,115.557,-0.2,11.951,15.7067,"2023-04"
"909","TOI-5205 b","TOI-5205",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",1.630757,0.0199,1.03,343,1.08,"Mass",0.02,49,737,0,"M4.0",3430,0.39,0.39,0,4.84,"20h55m04.96s",313.7706819,"+24d21m39.52s",24.360977,86.4493,-1.03,11.006,14.9317,"2023-03"
"910","TOI-5293 A b","TOI-5293 A",2,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",2.930289,0.034,1.06,170.4,0.54,"Mass",0.38,34.6,675,0,"M3+/-1",3586,0.52,0.54,-0.03,4.77,"23h43m18.88s",355.828682,"-02d02m42.34s",-2.0450945,162.229,-1.133,11.639,14.9816,"2023-07"
"911","TOI-530 b","TOI-530",1,1,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",6.3875892,NA,NA,NA,NA,"",NA,NA,NA,0,"M0.5 V",3659,0.54,0.53,0.376,4.7,"06h53m39.08s",103.4128333,"+12d52m53.68s",12.8815784,148.762,-0.136,11.238,14.6439,"2023-03"
"912","TOI-5344 b","TOI-5344",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.792622,0.04041,0.946,130.9453,0.412,"Mass",0.054,38,689,0,"",3747,0.59,0.61,0.425,4.69,"04h13m03.89s",63.2662165,"+20d54m54.56s",20.9151568,138.367,-0.149,10.86,14.3361,"2023-10"
"914","TOI-5398 b","TOI-5398",1,2,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",10.590547,0.098,0.919,58.7,0.18469,"Mass",0.13,NA,947,0,"G V",6000,1.05,1.15,0.09,4.44,"10h47m31.09s",161.8795569,"+36d19m45.96s",36.3294345,130.855,-0.005,8.713,9.98233,"2023-10"
"915","TOI-5398 c","TOI-5398",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.77271,0.057,0.314,11.8,0.03713,"Mass",0.14,NA,1242,0,"G V",6000,1.05,1.15,0.09,4.44,"10h47m31.09s",161.8795569,"+36d19m45.96s",36.3294345,130.855,-0.005,8.713,9.98233,"2023-10"
"916","TOI-544 b","TOI-544",1,2,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",1.548352,0.0225,0.18,2.89,0.00909,"Mass",0,NA,999,0,"",4169,0.62,0.63,-0.17,4.68,"05h29m09.62s",82.2900716,"-00d20m34.43s",-0.3428983,41.1166,-0.017,7.8,10.4143,"2023-10"
"917","TOI-544 c","TOI-544",1,2,"Radial Velocity",2023,"La Silla Observatory",50.089,NA,NA,21.5,0.06765,"Msini",0.32,NA,NA,0,"",4169,0.62,0.63,-0.17,4.68,"05h29m09.62s",82.2900716,"-00d20m34.43s",-0.3428983,41.1166,-0.017,7.8,10.4143,"2023-10"
"918","TOI-561 b","TOI-561",1,4,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",0.4465688,0.0106,0.122,2.24,0.00705,"Mass",0,NA,NA,0,"",5326,0.83,0.81,-0.41,4.5,"09h52m44.44s",148.1851516,"+06d12m57.97s",6.216103,85.799,-0.006,8.394,10.0128,"2023-03"
"919","TOI-561 c","TOI-561",1,4,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",10.778829,NA,NA,NA,NA,"",0.06,NA,NA,0,"G9 V",5455,0.85,0.79,-0.33,4.47,"09h52m44.44s",148.1851516,"+06d12m57.97s",6.216103,85.799,-0.006,8.394,10.0128,"2023-03"
"921","TOI-561 d","TOI-561",1,4,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",25.7124,0.159,0.252,12.15,0.03823,"Mass",NA,NA,NA,0,"",5326,0.83,0.81,-0.41,4.5,"09h52m44.44s",148.1851516,"+06d12m57.97s",6.216103,85.799,-0.006,8.394,10.0128,"2023-03"
