"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"100","HAT-P-37 b","HAT-P-37",1,1,"Transit",2011,"HATNet",2.79744256,NA,NA,NA,NA,"",NA,NA,NA,0,"",5500,0.88,0.93,NA,NA,"18h57m11.05s",284.2960393,"+51d16m08.84s",51.2691212,390.594,-0.126,11.667,13.2615,"2023-03"
"101","HAT-P-38 b","HAT-P-38",1,1,"Transit",2012,"HATNet",4.64032787,NA,NA,NA,NA,"",0.07,NA,NA,0,"",5330,0.92,0.89,NA,NA,"02h21m32.04s",35.3834942,"+32d14m45.76s",32.2460441,255.206,-0.103,10.501,12.3021,"2023-03"
"102","HAT-P-39 b","HAT-P-39",2,1,"Transit",2012,"HATNet",3.5438737,NA,NA,NA,NA,"",NA,NA,NA,0,"",6430,1.62,1.4,NA,NA,"07h35m01.98s",113.7582526,"+17d49m48.10s",17.8300283,697.004,-0.08,11.157,12.2269,"2023-03"
"103","HAT-P-4 b","HAT-P-4",2,1,"Transit",2007,"HATNet",3.05652301,NA,NA,NA,NA,"",NA,NA,NA,0,"",5860,NA,NA,NA,NA,"15h19m57.89s",229.99122,"+36d13m46.36s",36.229545,320.451,-0.01,9.770001,11.0634,"2023-03"
"104","HAT-P-40 b","HAT-P-40",1,1,"Transit",2012,"HATNet",4.4572184,NA,NA,NA,NA,"",NA,NA,NA,0,"",6080,2.21,1.51,NA,NA,"22h22m03.10s",335.5129199,"+45d27m26.43s",45.4573423,464.469,-0.014,10.009,11.4162,"2023-03"
"105","HAT-P-41 b","HAT-P-41",2,1,"Transit",2012,"HATNet",2.69404968,NA,NA,NA,NA,"",NA,NA,NA,0,"",6390,1.68,1.42,NA,NA,"19h49m17.44s",297.3226523,"+04d40m20.68s",4.6724124,348.185,-0.02,9.728,10.939,"2023-03"
"106","HAT-P-42 b","HAT-P-42",1,1,"Transit",2012,"HATNet",4.64183885,NA,NA,NA,NA,"",NA,NA,NA,0,"",5743,1.53,1.18,0.27,4.14,"09h01m22.65s",135.3443583,"+06d05m49.50s",6.0970828,405.238,-0.046,10.626,12.0031,"2023-03"
"107","HAT-P-43 b","HAT-P-43",1,1,"Transit",2012,"HATNet",3.33268054,NA,NA,NA,NA,"",NA,NA,NA,0,"",5645,1.1,1.05,0.23,4.37,"08h35m42.17s",128.9256885,"+10d12m23.71s",10.2065866,528.825,-0.057,11.764,13.2165,"2023-03"
"108","HAT-P-44 b","HAT-P-44",1,2,"Transit",2014,"HATNet",4.30119043,NA,NA,NA,NA,"",NA,NA,NA,0,"",5295,0.95,0.94,0.33,4.46,"14h12m34.53s",213.1438604,"+47d00m53.22s",47.0147826,347.85,-0.069,11.275,12.9729,"2023-03"
"109","HAT-P-45 b","HAT-P-45",1,1,"Transit",2014,"HATNet",3.12899506,NA,NA,NA,NA,"",NA,NA,NA,0,"",6330,1.32,1.26,0.07,4.3,"18h17m29.58s",274.3732697,"-03d22m51.81s",-3.3810594,298.64,-0.08,10.201,12.3977,"2023-03"
"110","HAT-P-46 b","HAT-P-46",1,1,"Transit",2014,"HATNet",4.46313574,NA,NA,NA,NA,"",0.12,NA,NA,0,"",6120,1.4,1.28,0.3,4.25,"18h01m46.60s",270.4441831,"-02d58m15.53s",-2.97098,290.736,-0.069,9.924,11.6843,"2023-03"
"111","HAT-P-49 b","HAT-P-49",1,1,"Transit",2014,"HATNet",2.69155536,NA,NA,NA,NA,"",NA,NA,NA,0,"F",6820,1.83,1.54,0.074,4.1,"20h21m45.92s",305.4413294,"+26d41m33.63s",26.6926759,350.351,-0.006,9.346,10.2071,"2023-03"
"112","HAT-P-5 b","HAT-P-5",1,1,"Transit",2007,"HATNet",2.78847323,NA,NA,NA,NA,"",NA,NA,NA,0,"",5960,NA,NA,NA,NA,"18h17m37.33s",274.4055335,"+36d37m17.26s",36.6214617,303.336,-0.029,10.481,11.8224,"2023-03"
"113","HAT-P-50 b","HAT-P-50",1,1,"Transit",2015,"HATNet",3.12200511,NA,NA,NA,NA,"",NA,NA,NA,0,"",6280,1.7,1.27,-0.18,4.07,"07h52m15.23s",118.0634379,"+12d08m21.65s",12.1393474,515.458,-0.057,10.5,11.6722,"2023-03"
"114","HAT-P-51 b","HAT-P-51",1,1,"Transit",2015,"HATNet",4.21802122,NA,NA,NA,NA,"",NA,NA,NA,0,"",5449,1.04,0.98,0.27,4.39,"01h24m15.63s",21.0651251,"+32d48m38.52s",32.8107,440.089,-0.103,11.614,13.2846,"2023-03"
"115","HAT-P-52 b","HAT-P-52",1,1,"Transit",2015,"HATNet",2.7535976,NA,NA,NA,NA,"",NA,NA,NA,0,"",5131,0.89,0.89,0.28,4.48,"02h50m53.22s",42.7217412,"+29d01m20.10s",29.0222492,361.155,-0.08,11.621,13.787,"2023-03"
"116","HAT-P-53 b","HAT-P-53",1,1,"Transit",2015,"HATNet",1.96162371,NA,NA,NA,NA,"",NA,NA,NA,0,"",5956,1.21,1.09,0,4.31,"01h27m29.06s",21.8711012,"+38d58m05.21s",38.9681137,666.802,-0.126,12.1,13.5142,"2023-03"
"117","HAT-P-54 b","HAT-P-54",1,1,"Transit",2015,"HATNet",3.79985297,NA,NA,NA,NA,"",NA,NA,NA,0,"",4390,0.62,0.65,-0.127,4.67,"06h39m35.52s",99.8979924,"+25d28m56.64s",25.4824005,143.651,-0.069,10.326,13.0172,"2023-03"
"118","HAT-P-55 b","HAT-P-55",1,1,"Transit",2015,"HATNet",3.58523207,NA,NA,NA,NA,"",NA,NA,NA,0,"",5808,1.01,1.01,-0.03,4.43,"17h37m05.64s",264.2735096,"+25d43m52.13s",25.7311468,511.388,-0.126,11.627,13.0955,"2023-03"
"119","HAT-P-56 b","HAT-P-56",1,1,"Transit",2015,"HATNet",2.790825,NA,NA,NA,NA,"",NA,NA,NA,0,"",6566,1.43,1.3,-0.077,4.24,"06h43m23.52s",100.8480137,"+27d15m07.86s",27.2521823,320.639,-0.03,9.83,10.8245,"2023-03"
"120","HAT-P-57 b","HAT-P-57",3,1,"Transit",2015,"HATNet",2.46529488,NA,NA,NA,NA,"",NA,NA,NA,0,"A8 V",7500,1.5,1.47,-0.25,4.25,"18h18m58.42s",274.743418,"+10d35m49.91s",10.5971968,279.86,-0.007,9.433,10.4253,"2023-03"
"121","HAT-P-59 b","HAT-P-59",1,1,"Transit",2021,"HATNet",4.1419776,NA,NA,NA,NA,"",NA,NA,NA,0,"",5678,1.1,1.01,0.217,4.36,"19h29m50.12s",292.4588212,"+62d31m45.08s",62.5291892,265.471,-0.034,10.208,11.6787,"2023-03"
"122","HAT-P-6 b","HAT-P-6",1,1,"Transit",2007,"HATNet",3.85299668,NA,NA,NA,NA,"",NA,NA,NA,0,"",6570,1.46,1.29,-0.13,4.22,"23h39m05.78s",354.7740917,"+42d27m57.55s",42.4659866,275.358,-0.005,9.313,10.3056,"2023-03"
"123","HAT-P-62 b","HAT-P-62",1,1,"Transit",2021,"HATNet",2.64532306,NA,NA,NA,NA,"",NA,NA,NA,0,"",5629,1.17,1.02,0.414,4.31,"04h58m01.05s",74.5043816,"+48d18m03.08s",48.3008551,348.815,-0.069,10.701,12.4362,"2023-03"
"124","HAT-P-65 b","HAT-P-65",1,1,"Transit",2016,"HATNet",2.60544724,NA,NA,NA,NA,"",NA,NA,NA,0,"G2",5835,1.86,1.21,0.1,3.98,"21h03m37.32s",315.9054895,"+11d59m21.72s",11.9893675,738.519,-0.092,11.528,12.9952,"2023-03"
"125","HAT-P-66 b","HAT-P-66",1,1,"Transit",2016,"HATNet",2.972089,NA,NA,NA,NA,"",NA,NA,NA,0,"G0",6002,1.88,1.25,0.035,3.99,"10h02m17.43s",150.5726262,"+53d57m02.97s",53.9508237,935.456,-0.08,11.675,12.8922,"2023-03"
"126","HAT-P-67 b","HAT-P-67",2,1,"Transit",2017,"HATNet",4.8101042,NA,NA,NA,NA,"",NA,NA,NA,0,"",6406,2.55,1.64,-0.08,3.85,"17h06m26.57s",256.6107279,"+44d46m36.79s",44.7768849,371.686,-0.005,8.9,9.97496,"2023-03"
"127","HAT-P-68 b","HAT-P-68",1,1,"Transit",2020,"HATNet",2.29840555,NA,NA,NA,NA,"",NA,NA,NA,0,"K",4508,0.67,0.68,-0.059,4.62,"07h53m55.96s",118.4831501,"+23d56m17.59s",23.9382192,202.152,-0.126,11.019,13.5442,"2023-03"
"128","HAT-P-69 b","HAT-P-69",1,1,"Transit",2019,"HATNet",4.7869883,NA,NA,NA,NA,"",NA,NA,NA,0,"",7394,1.93,1.65,-0.069,4.11,"08h42m01.35s",130.5056385,"+03d42m38.04s",3.7105662,341.263,-0.005,9.28,9.77332,"2023-03"
"129","HAT-P-7 b","HAT-P-7",2,1,"Transit",2008,"HATNet",2.204736,NA,NA,NA,NA,"",0.0016,NA,NA,0,"",6350,1.84,1.47,NA,NA,"19h28m59.33s",292.24719,"+47d58m10.35s",47.9695429,341.079,-0.007,9.334,10.3654,"2023-03"
"130","HAT-P-70 b","HAT-P-70",1,1,"Transit",2019,"HATNet",2.74431939,NA,NA,NA,NA,"",NA,NA,NA,0,"",8450,1.86,1.89,-0.059,4.18,"04h58m12.56s",74.5523332,"+09d59m52.73s",9.9979794,330.739,-0.004,8.963,9.45174,"2023-03"
"131","HAT-P-8 b","HAT-P-8",3,1,"Transit",2008,"HATNet",3.07634347,NA,NA,NA,NA,"",NA,NA,NA,0,"",6200,1.58,1.28,NA,NA,"22h52m09.96s",343.0414932,"+35d26m49.84s",35.4471778,211.553,-0.005,8.953,10.1489,"2023-03"
"132","HAT-P-9 b","HAT-P-9",1,1,"Transit",2008,"HATNet",3.92281131,NA,NA,NA,NA,"",0.08,NA,NA,0,"",6350,1.32,1.28,NA,NA,"07h20m40.44s",110.1685157,"+37d08m26.14s",37.1405946,455.203,-0.047,11.015,12.1536,"2023-03"
"133","HATS-1 b","HATS-1",1,1,"Transit",2012,"HATSouth",3.4464563,NA,NA,NA,NA,"",0.12,NA,NA,0,"",5870,1.04,0.99,NA,NA,"11h42m06.06s",175.5252399,"-23d21m17.44s",-23.3548451,283.971,-0.08,10.58,11.9363,"2023-03"
"134","HATS-10 b","HATS-10",1,1,"Transit",2015,"HATSouth",3.3128281,NA,NA,NA,NA,"",NA,NA,NA,0,"",5880,1.1,1.1,0.15,4.39,"19h37m13.64s",294.3068385,"-22d12m16.15s",-22.2044872,534.889,-0.092,11.511,12.9838,"2023-03"
"135","HATS-11 b","HATS-11",1,1,"Transit",2016,"HATSouth",3.6191546,NA,NA,NA,NA,"",NA,NA,NA,0,"G0",6060,1.44,1,-0.39,4.12,"19h17m36.18s",289.4007603,"-22d23m24.03s",-22.3900092,944.603,-0.103,12.243,13.8333,"2023-03"
"136","HATS-13 b","HATS-13",1,1,"Transit",2015,"HATSouth",3.04405362,NA,NA,NA,NA,"",NA,NA,NA,0,"",5523,0.89,0.96,0.05,4.52,"21h07m50.76s",316.9614798,"-26d05m48.19s",-26.0967205,421.855,-0.16,11.983,13.6799,"2023-03"
"137","HATS-17 b","HATS-17",1,1,"Transit",2016,"HATSouth",16.254688,NA,NA,NA,NA,"",NA,NA,NA,0,"G V",5846,1.09,1.13,0.3,4.42,"12h48m45.50s",192.1895676,"-47d36m49.24s",-47.6136789,400.331,-0.057,10.698,12.2179,"2023-03"
"138","HATS-2 b","HATS-2",1,1,"Transit",2013,"HATSouth",1.35413368,NA,NA,NA,NA,"",NA,NA,NA,0,"K",5227,0.9,0.88,0.15,4.48,"11h46m57.32s",176.7388264,"-22d33m46.83s",-22.5630097,341.925,-0.092,11.386,13.3419,"2023-03"
"139","HATS-22 b","HATS-22",1,1,"Transit",2017,"HATSouth",4.72281727,NA,NA,NA,NA,"",0.08,NA,NA,0,"K V",4803,0.69,0.76,0,4.64,"11h36m02.37s",174.0098693,"-29d32m36.11s",-29.5433642,229.518,-0.092,10.942,13.1225,"2023-03"
"140","HATS-23 b","HATS-23",1,1,"Transit",2017,"HATSouth",2.1605107,NA,NA,NA,NA,"",NA,NA,NA,0,"G V",5780,1.2,1.12,0.28,4.33,"19h05m28.02s",286.36675,"-50d04m02.46s",-50.0673496,639.004,-0.069,12.262,13.752,"2023-03"
"141","HATS-24 b","HATS-24",1,1,"Transit",2017,"HATSouth",1.34849689,NA,NA,NA,NA,"",NA,NA,NA,0,"F V",6346,1.17,1.21,0,4.38,"17h55m33.77s",268.8907069,"-61d44m50.64s",-61.7474,494.182,-0.092,11.382,12.6911,"2023-03"
"142","HATS-25 b","HATS-25",1,1,"Transit",2016,"HATSouth",4.29864716,NA,NA,NA,NA,"",NA,NA,NA,0,"G",5715,1.11,0.99,0.02,4.35,"13h51m37.84s",207.9076746,"-23d46m52.47s",-23.7812403,471.158,-0.08,11.416,12.9353,"2023-03"
"143","HATS-26 b","HATS-26",1,1,"Transit",2016,"HATSouth",3.3023928,NA,NA,NA,NA,"",NA,NA,NA,0,"F",6071,2.04,1.3,-0.02,3.94,"09h39m42.45s",144.9268593,"-28d35m08.16s",-28.5856004,861.843,-0.103,11.435,12.8431,"2023-03"
"144","HATS-27 b","HATS-27",1,1,"Transit",2016,"HATSouth",4.6370496,NA,NA,NA,NA,"",NA,NA,NA,0,"F",6438,1.74,1.42,0.09,4.11,"12h54m12.59s",193.5524603,"-46d35m15.78s",-46.5877159,816.988,-0.069,11.55,12.6792,"2023-03"
"145","HATS-29 b","HATS-29",1,1,"Transit",2016,"HATSouth",4.6058787,NA,NA,NA,NA,"",NA,NA,NA,0,"G",5670,1.07,1.03,0.16,4.39,"19h00m23.16s",285.0965172,"-54d53m36.03s",-54.8933408,353.891,-0.057,10.877,12.4594,"2023-03"
"146","HATS-3 b","HATS-3",1,1,"Transit",2013,"HATSouth",3.54785091,NA,NA,NA,NA,"",NA,NA,NA,0,"F",6351,1.4,1.21,-0.157,4.22,"20h49m49.80s",312.4574879,"-24d25m43.30s",-24.4286938,411.211,-0.034,10.694,11.8914,"2023-03"
"147","HATS-30 b","HATS-30",2,1,"Transit",2016,"HATSouth",3.17435131,NA,NA,NA,NA,"",NA,NA,NA,0,"G",5943,1.06,1.09,0.06,4.42,"00h22m28.45s",5.618525,"-59d56m33.32s",-59.9425892,342.14,-0.057,10.793,12.0815,"2023-03"
"148","HATS-31 b","HATS-31",1,1,"Transit",2016,"HATSouth",3.3779344,NA,NA,NA,NA,"",NA,NA,NA,0,"",6050,1.87,1.27,0,4,"12h46m48.68s",191.7028214,"-24d25m38.60s",-24.4273897,773.974,-0.092,11.572,12.9613,"2023-03"
"149","HATS-33 b","HATS-33",1,1,"Transit",2016,"HATSouth",2.54956317,NA,NA,NA,NA,"",NA,NA,NA,0,"",5659,1.02,1.06,0.29,4.45,"19h38m32.09s",294.6336944,"-55d19m48.97s",-55.3302692,248.46,-0.035,10.287,11.7082,"2023-03"
"150","HATS-34 b","HATS-34",1,1,"Transit",2016,"HATSouth",2.10616098,NA,NA,NA,NA,"",NA,NA,NA,0,"",5380,0.98,0.95,0.25,4.43,"00h03m05.88s",0.7744866,"-62d28m09.54s",-62.4693167,508.842,-0.137,12.095,13.679,"2023-03"
"151","HATS-35 b","HATS-35",1,1,"Transit",2016,"HATSouth",1.82100088,NA,NA,NA,NA,"",NA,NA,NA,0,"",6300,1.43,1.32,0.21,4.24,"19h46m45.23s",296.688442,"-63d33m56.34s",-63.5656488,514.555,-0.057,11.118,12.4605,"2023-03"
"152","HATS-39 b","HATS-39",1,1,"Transit",2018,"HATSouth",4.5776335,NA,NA,NA,NA,"",NA,NA,NA,0,"",6572,1.62,1.38,0,4.16,"07h29m40.61s",112.4192251,"-29d56m16.50s",-29.9379163,878.521,-0.057,11.518,12.6539,"2023-03"
"153","HATS-4 b","HATS-4",1,1,"Transit",2014,"HATSouth",2.51672679,NA,NA,NA,NA,"",NA,NA,NA,0,"G",5403,0.93,1,0.43,4.51,"06h16m26.90s",94.1120914,"-22d32m48.78s",-22.5468824,416.459,-0.103,11.612,13.2862,"2023-03"
"154","HATS-40 b","HATS-40",1,1,"Transit",2018,"HATSouth",3.2642813,NA,NA,NA,NA,"",NA,NA,NA,0,"",6460,2.26,1.56,0.01,3.92,"06h42m17.10s",100.5712467,"-29d46m36.41s",-29.77678,1342.29,-0.103,12.147,13.2842,"2023-03"
"155","HATS-41 b","HATS-41",1,1,"Transit",2018,"HATSouth",4.1936623,NA,NA,NA,NA,"",0.38,NA,NA,0,"",6424,1.71,1.5,0.47,4.14,"06h54m04.17s",103.5173558,"-27d03m01.50s",-27.0504156,737.668,-0.069,11.498,12.5892,"2023-03"
"156","HATS-42 b","HATS-42",1,1,"Transit",2018,"HATSouth",2.29210275,NA,NA,NA,NA,"",NA,NA,NA,0,"",6060,1.48,1.27,0.22,4.2,"07h13m48.58s",108.4523991,"-33d26m14.45s",-33.4373462,800.377,-0.114,12.245,13.5627,"2023-03"
"157","HATS-43 b","HATS-43",1,1,"Transit",2018,"HATSouth",4.3888492,NA,NA,NA,NA,"",0.17,NA,NA,0,"",5099,0.81,0.84,0.05,4.54,"05h22m09.18s",80.5382418,"-30d58m14.94s",-30.9708179,362.273,-0.057,11.556,13.4014,"2023-03"
"158","HATS-45 b","HATS-45",1,1,"Transit",2018,"HATSouth",4.1876194,NA,NA,NA,NA,"",NA,NA,NA,0,"",6450,1.31,1.27,0.02,4.3,"06h47m58.62s",101.9942455,"-21d54m38.56s",-21.9107112,772.11,-0.103,12.137,13.2385,"2023-03"
"159","HATS-46 b","HATS-46",1,1,"Transit",2018,"HATSouth",4.7423693,NA,NA,NA,NA,"",NA,NA,NA,0,"",5495,0.85,0.92,-0.06,4.54,"00h26m48.63s",6.7026401,"-56d18m57.97s",-56.3161021,453.808,-0.126,11.965,13.527,"2023-03"
"160","HATS-48 A b","HATS-48 A",2,1,"Transit",2020,"HATSouth",3.13166726,NA,NA,NA,NA,"",NA,NA,NA,0,"",4546,0.72,0.73,0.186,4.59,"19h14m41.28s",288.6720048,"-59d34m45.66s",-59.5793505,263.609,-0.206,11.427,13.8951,"2023-03"
"161","HATS-5 b","HATS-5",1,1,"Transit",2014,"HATSouth",4.76338959,NA,NA,NA,NA,"",0.019,NA,NA,0,"G",5304,0.87,0.94,0.19,4.53,"04h28m53.48s",67.2228465,"-21d28m55.40s",-21.4820568,246.384,-0.046,10.703,12.4288,"2023-03"
"162","HATS-51 b","HATS-51",1,1,"Transit",2017,"HATSouth",3.34886782,NA,NA,NA,NA,"",NA,NA,NA,0,"",5758,1.44,1.19,NA,4.2,"06h51m23.38s",102.8474248,"-29d03m31.16s",-29.0586551,389.57,-0.08,10.867,12.3293,"2023-03"
"163","HATS-52 b","HATS-52",1,1,"Transit",2017,"HATSouth",1.36665617,NA,NA,NA,NA,"",NA,NA,NA,0,"",6010,1.05,1.11,NA,4.45,"09h20m21.02s",140.0875894,"-31d16m09.16s",-31.2692116,555.134,-0.114,12.114,13.6269,"2023-03"
"164","HATS-53 b","HATS-53",1,1,"Transit",2017,"HATSouth",3.85377818,NA,NA,NA,NA,"",NA,NA,NA,0,"",5644,1.1,0.96,NA,4.34,"11h46m30.80s",176.628323,"-33d51m36.28s",-33.8600764,585.77,-0.137,12.046,13.6564,"2023-03"
"165","HATS-56 b","HATS-56",1,1,"Transit",2019,"HATSouth",4.3247662,NA,NA,NA,NA,"",NA,NA,NA,0,"",6536,2.2,1.57,0.19,3.95,"12h00m39.62s",180.165072,"-45d47m58.04s",-45.7994559,564.409,-0.011,10.251,11.4877,"2023-03"
"166","HATS-57 b","HATS-57",1,1,"Transit",2019,"HATSouth",2.35061721,NA,NA,NA,NA,"",NA,NA,NA,0,"",5587,0.96,1.03,0.268,4.48,"04h03m47.59s",60.9482779,"-19d03m24.55s",-19.0568182,279.485,-0.069,10.707,12.1816,"2023-03"
"167","HATS-58 A b","HATS-58 A",2,1,"Transit",2019,"HATSouth",4.2180733,NA,NA,NA,NA,"",NA,NA,NA,0,"",7175,1.43,1.46,NA,4.29,"12h27m08.95s",186.7873036,"-48d58m42.28s",-48.9784105,403.591,-0.046,10.289,11.7679,"2023-03"
"168","HATS-6 b","HATS-6",1,1,"Transit",2015,"HATSouth",3.32526424,NA,NA,NA,NA,"",NA,NA,NA,0,"M1 V",3724,0.57,0.57,0.2,4.68,"05h52m35.23s",88.1468079,"-19d01m53.86s",-19.0316268,169.318,-0.092,11.224,14.3601,"2023-03"
"169","HATS-60 b","HATS-60",1,1,"Transit",2018,"HATSouth",3.5608104,NA,NA,NA,NA,"",NA,NA,NA,0,"",5688,1.46,1.1,0.335,4.15,"22h45m27.37s",341.3640336,"-14d59m30.39s",-14.9917747,486.474,-0.08,10.988,12.5004,"2023-03"
"170","HATS-64 b","HATS-64",1,1,"Transit",2018,"HATSouth",4.9088963,NA,NA,NA,NA,"",NA,NA,NA,0,"",6554,2.11,1.56,0.22,3.98,"09h37m09.03s",144.2876092,"-29d48m01.60s",-29.800444,1080.15,-0.114,11.705,12.839,"2023-03"
"171","HATS-65 b","HATS-65",2,1,"Transit",2018,"HATSouth",3.10515933,NA,NA,NA,NA,"",NA,NA,NA,0,"",6277,1.31,1.26,0.199,4.3,"19h31m45.55s",292.9397825,"-26d44m24.73s",-26.7402021,493.32,-0.069,11.095,12.3793,"2023-03"
"172","HATS-67 b","HATS-67",1,1,"Transit",2018,"HATSouth",1.60918324,NA,NA,NA,NA,"",NA,NA,NA,0,"",6594,1.44,1.44,0.332,4.28,"12h00m50.11s",180.2087883,"-46d08m11.11s",-46.1364201,960.109,-0.114,12.327,13.5596,"2023-03"
"173","HATS-68 b","HATS-68",1,1,"Transit",2018,"HATSouth",3.5862211,NA,NA,NA,NA,"",NA,NA,NA,0,"",6147,1.75,1.35,0.21,4.08,"01h00m01.46s",15.006077,"-58d54m17.01s",-58.9047242,603.955,-0.046,10.949,12.1631,"2023-03"
"174","HATS-7 b","HATS-7",1,1,"Transit",2015,"HATSouth",3.1853109,NA,NA,NA,NA,"",NA,NA,NA,0,"K2",4985,0.81,0.85,0.25,4.54,"13h55m25.62s",208.8567465,"-21d12m28.29s",-21.2078587,240.707,-0.08,10.976,13.0499,"2023-03"
"175","HATS-70 b","HATS-70",1,1,"Transit",2019,"HATSouth",1.88823968,NA,NA,NA,NA,"",NA,NA,NA,0,"",7930,1.88,1.78,0.041,4.17,"07h16m25.09s",109.1045212,"-31d14m39.82s",-31.2443947,1458.83,-0.035,12.04,12.586,"2023-03"
"176","HATS-72 b","HATS-72",1,1,"Transit",2020,"HATSouth",7.3279496,NA,NA,NA,NA,"",NA,NA,NA,0,"",4656.1,0.72,0.73,0.099,4.59,"22h36m06.20s",339.0258401,"-17d00m01.10s",-17.0003046,127.589,-0.046,9.764,12.0725,"2023-03"
"177","HD 100777 b","HD 100777",1,1,"Radial Velocity",2007,"La Silla Observatory",383,1.06,NA,390.92894,1.23,"Mass",0.38,NA,NA,0,"G8 V",NA,NA,1.08,NA,NA,"11h35m51.51s",173.9646303,"-04d45m19.95s",-4.7555425,49.5336,-0.03,6.735,8.2387,"2023-08"
"178","HD 103891 b","HD 103891",1,1,"Radial Velocity",2022,"La Silla Observatory",1894,3.255,NA,918.5241,2.89,"Mass",0.31,NA,NA,0,"F8 V",6072,NA,1.28,-0.19,3.79,"11h57m45.19s",179.4382907,"-08d32m55.03s",-8.5486195,55.5213,-0.023,5.187,6.436,"2023-05"
"179","HD 104985 b","HD 104985",1,1,"Radial Velocity",2003,"Okayama Astrophysical Observatory",199.68,0.715,NA,1766.80811,5.559,"Msini",0.047,NA,NA,0,"G9 III",4738,11.12,1.22,-0.32,2.42,"12h05m15.79s",181.3157854,"+76d54m19.21s",76.9053359,100.576,-0.023,3.274,5.49698,"2023-08"
"180","HD 106270 b","HD 106270",1,1,"Radial Velocity",2011,"W. M. Keck Observatory",1890,3.347,NA,3623.24384,11.4,"Mass",0.213,NA,NA,0,"G5 IV",5567,NA,1.48,0.06,3.76,"12h13m37.18s",183.4049258,"-09d30m48.83s",-9.5135645,93.808,-0.03,5.862,7.39531,"2023-05"
"181","HD 106315 c","HD 106315",1,2,"Transit",2017,"K2",21.056614,NA,NA,NA,NA,"",NA,NA,NA,1,"F5 V",6290,1.18,1.07,-0.24,4.29,"12h13m53.39s",183.4724742,"-00d23m36.37s",-0.3934357,109.353,-0.003,7.853,8.88841,"2023-03"
"182","HD 10697 b","HD 10697",1,1,"Radial Velocity",1999,"W. M. Keck Observatory",1075.5,2.143,NA,2151.69832,6.77,"Mass",0.1035,NA,NA,0,"G3 V",5641,NA,1.13,0.14,4.05,"01h44m55.78s",26.2324076,"+20d04m57.71s",20.0826974,33.1205,-0.023,4.601,6.10286,"2023-05"
"183","HD 108202 b","HD 108202",1,1,"Radial Velocity",2023,"La Silla Observatory",2990,3.7,NA,953.48522,3,"Mass",0.52,NA,NA,0,"K4/5 V",NA,NA,0.74,NA,NA,"12h25m50.72s",186.4613189,"-01d06m39.32s",-1.1109233,38.6846,-0.03,7.31,9.78272,"2023-08"
"184","HD 108236 b","HD 108236",1,5,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",3.79666,NA,NA,NA,NA,"",0.2,NA,NA,1,"G3 V",5730,0.89,0.97,-0.3,4.5,"12h26m17.78s",186.5740627,"-51d21m46.99s",-51.3630519,64.5978,-0.03,7.637,9.08745,"2023-03"
"185","HD 108236 c","HD 108236",1,5,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",6.203688,NA,NA,NA,NA,"",0.18,NA,NA,0,"G3 V",5730,0.89,0.97,-0.3,4.5,"12h26m17.78s",186.5740627,"-51d21m46.99s",-51.3630519,64.5978,-0.03,7.637,9.08745,"2023-03"
"186","HD 108236 d","HD 108236",1,5,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",14.175876,NA,NA,NA,NA,"",0.17,NA,NA,0,"G3 V",5730,0.89,0.97,-0.3,4.5,"12h26m17.78s",186.5740627,"-51d21m46.99s",-51.3630519,64.5978,-0.03,7.637,9.08745,"2023-03"
"187","HD 108236 e","HD 108236",1,5,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",19.590186,NA,NA,NA,NA,"",0.2,NA,NA,0,"G3 V",5730,0.89,0.97,-0.3,4.5,"12h26m17.78s",186.5740627,"-51d21m46.99s",-51.3630519,64.5978,-0.03,7.637,9.08745,"2023-03"
"188","HD 108341 b","HD 108341",2,1,"Radial Velocity",2014,"La Silla Observatory",1148,2.029,NA,715.11392,2.25,"Mass",0.769,NA,NA,0,"K2 V",5122,NA,0.84,0.04,4.45,"12h27m31.00s",186.8791724,"-71d25m20.96s",-71.4224896,48.9102,-0.03,7.326,9.14337,"2023-05"
"189","HD 110067 b","HD 110067",3,6,"Transit",2023,"Multiple Observatories",9.113678,0.0793,0.196,5.69,0.0179,"Mass",NA,NA,800,0,"K0.0 V",5266,0.79,0.8,-0.2,4.54,"12h39m21.41s",189.8392243,"+20d01m38.42s",20.0273377,32.1585,-0.002,6.492,8.17208,"2023-11"
"190","HD 110067 c","HD 110067",3,6,"Transit",2023,"Multiple Observatories",13.673694,0.1039,0.213,6.3,0.01982,"Mass",NA,NA,699,0,"K0.0 V",5266,0.79,0.8,-0.2,4.54,"12h39m21.41s",189.8392243,"+20d01m38.42s",20.0273377,32.1585,-0.002,6.492,8.17208,"2023-11"
